index, img1, img2, SURF, HIST, COMB
7952, /home/dhan/transfer/images/11455_0_q.jpg, /home/dhan/transfer/images/11455_0_r.jpg, 0.00160047743055556, 0.997977620722401, 0.997977620722401
7954, /home/dhan/transfer/images/11455_1_r.jpg, /home/dhan/transfer/images/11455_1_q.jpg, 0.00241427951388889, 1, 1
7956, /home/dhan/transfer/images/11460_0_q.jpg, /home/dhan/transfer/images/11460_0_r.jpg, 0.00154622395833333, 0.997678574604715, 0.997678574604715
7958, /home/dhan/transfer/images/11460_1_r.jpg, /home/dhan/transfer/images/11460_1_q.jpg, 0.00233289930555556, 1, 1
7960, /home/dhan/transfer/images/11465_0_q.jpg, /home/dhan/transfer/images/11465_0_r.jpg, 0.00157335069444444, 0.99727400616511, 0.99727400616511
7962, /home/dhan/transfer/images/11465_1_r.jpg, /home/dhan/transfer/images/11465_1_q.jpg, 0.002197265625, 0.999005467505977, 0.999005467505977
7964, /home/dhan/transfer/images/11470_0_r.jpg, /home/dhan/transfer/images/11470_0_q.jpg, 0.00143771701388889, 0.997495320745882, 0.997495320745882
7966, /home/dhan/transfer/images/11470_1_r.jpg, /home/dhan/transfer/images/11470_1_q.jpg, 0.00236002604166667, 0.998933370383987, 0.998933370383987
7968, /home/dhan/transfer/images/11475_0_r.jpg, /home/dhan/transfer/images/11475_0_q.jpg, 0.00154622395833333, 0.997997163495608, 0.997997163495608
7970, /home/dhan/transfer/images/11475_1_r.jpg, /home/dhan/transfer/images/11475_1_q.jpg, 0.00249565972222222, 0.999341325290828, 0.999341325290828
7972, /home/dhan/transfer/images/11480_0_q.jpg, /home/dhan/transfer/images/11480_0_r.jpg, 0.00160047743055556, 0.997690750743625, 0.997690750743625
7974, /home/dhan/transfer/images/11480_1_q.jpg, /home/dhan/transfer/images/11480_1_r.jpg, 0.00254991319444444, 0.999967165145382, 0.999967165145382
7976, /home/dhan/transfer/images/11485_0_r.jpg, /home/dhan/transfer/images/11485_0_q.jpg, 0.00162760416666667, 0.997322488426037, 0.997322488426037
7978, /home/dhan/transfer/images/11485_1_q.jpg, /home/dhan/transfer/images/11485_1_r.jpg, 0.00263129340277778, 0.999967607268759, 0.999967607268759
